PETITION,NAME OF PROPERTY,ADDRESS,NEIGHBORHOOD,PETITION BY,CATEGORY,DETAILS,full_address,lat,lon,coordinate,PID
289,Charlestown Industrial Architectural Conservation District,,Charlestown,10 voters,C = Pending Landmark/District,Under study - July 2023,"See Map, Charlestown, MA",42.37865559999999,-71.0615977,"42.3839550438612, -71.07313200079601",0
288,Hotel Buckminster,635-645 Beacon Street,Kenmore,10 voters,A = Individual Landmark,BLC designation vote 2023,"635-645 Beacon Street, Kenmore, MA",42.348373,-71.097698,"42.348373, -71.097698",0
287,Monument Square Landmark District,,Charlestown,10 Voters ,C = Pending Landmark/District,Under study - Jul 2022,"See Map, Charlestown, MA",42.37865559999999,-71.0615977,"42.37606725321396, -71.06094166697032",0
286,William S. Keith House,1911 Centre St,West Roxbury,10 voters,D = Designated or Pending but Demolished,Razed 2022,"1911 Centre St, West Roxbury, MA",42.2850021,-71.1568968,"42.2850021, -71.1568968",0
285,Blue Hill Bank,1110 Washington St,Mattapan,10 voters,C = Pending Landmark/District,Under study - Mar 2022,"1110 Washington St, Mattapan, MA",42.2734807,-71.0697506,"42.2734807, -71.06975059999999",0
284,Bailey-Conant House,77 Bailey St,Dorchester,10 voters,C = Pending Landmark/District,Under study - Mar 2022,"77 Bailey St, Dorchester, MA",42.2847485,-71.0652605,"42.2847485, -71.0652605",0
283,Massachusett Native Rhyolite Quarry,Babson-Cookson Tract,Mattapan,10 voters,C = Pending Landmark/District,Under study - Nov 2021,"Babson-Cookson Tract, Mattapan, MA",42.2730947,-71.0911891,"42.2730947, -71.0911891",0
282,Humphreys Street Studios ACD,11-13 Humphreys St,Dorchester,10 voters,"O = Other, non-designation action",Withdrawn,"11-13 Humphreys St, Dorchester, MA",42.3205539,-71.0660263,"42.3205539, -71.06602629999999",0
281,Ames-Barnard-Everett House ACD,37 Glendale St,Dorchester,10 voters,C = Pending Landmark/District,Under study - Jan 2022,"37 Glendale St, Dorchester, MA",42.3131086,-71.067245,"42.3131086, -71.067245",0
280,Field-Knight House,10 Melville Avenue,Dorchester,Commissioner,C = Pending Landmark/District,Under study - Oct 2021,"10 Melville Avenue, Dorchester, MA",42.2942416,-71.0702513,"42.2942416, -71.0702513",0
